epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2127.01,0.87952,0.32584,0.10753,0.58746,1.00848,0.99743,0.8439,0.91565,0.72347,0.99435,0.85829,0.94584,0.92073,0.85272,0.36886,0.03131,0.46286,0.94215,0.00161192,0.00161192,0.00161192
100,2141.76,0.87494,0.32908,0.11198,0.58347,1.00862,0.9742,0.81463,0.90453,0.70496,0.95413,0.89268,0.95416,0.92048,0.88506,0.36431,0.03202,0.52199,0.97532,0.00160796,0.00160796,0.00160796
101,2156.92,0.86606,0.33698,0.11602,0.59271,1.01465,0.93778,0.8439,0.90538,0.73845,0.96884,0.91017,0.94878,0.92398,0.81043,0.34819,0.03233,0.47016,0.93649,0.001604,0.001604,0.001604
102,2172.63,0.88231,0.3379,0.10576,0.58345,1.01739,0.98805,0.85366,0.91442,0.69684,0.96875,0.90728,0.94953,0.92622,0.93987,0.37785,0.0529,0.463,0.96172,0.00160004,0.00160004,0.00160004
103,2187.96,0.89124,0.33285,0.1099,0.59513,1.02236,0.96865,0.83415,0.89993,0.74191,0.92443,0.89511,0.94295,0.9135,0.80761,0.41438,0.06449,0.46807,0.93991,0.00159608,0.00159608,0.00159608
104,2203.5,0.88563,0.34249,0.11743,0.58228,1.0183,0.96873,0.86341,0.92064,0.73337,0.97335,0.89098,0.94991,0.92722,0.86834,0.36835,0.03935,0.45716,0.97663,0.00159212,0.00159212,0.00159212
105,2218.95,0.86161,0.33078,0.11145,0.57148,1.00567,0.91785,0.90244,0.91927,0.7452,0.93584,0.92501,0.95035,0.92717,0.79757,0.34345,0.04603,0.4456,0.9355,0.00158816,0.00158816,0.00158816
106,2234.8,0.8527,0.30298,0.10225,0.56052,1.0065,0.98089,0.8439,0.91556,0.73453,0.97363,0.90058,0.95348,0.91896,0.83683,0.3617,0.04228,0.47936,0.97004,0.0015842,0.0015842,0.0015842
107,2249.7,0.8832,0.3521,0.1088,0.58435,1.01569,0.95702,0.86829,0.91969,0.72083,0.9732,0.88583,0.94626,0.91989,0.91709,0.37657,0.03794,0.46588,0.97565,0.00158024,0.00158024,0.00158024
108,2264.81,0.86293,0.32556,0.11151,0.56861,1.01413,0.97784,0.85366,0.91366,0.69828,0.97866,0.89497,0.94787,0.91855,0.97787,0.39936,0.03961,0.50684,0.99067,0.00157628,0.00157628,0.00157628
109,2279.99,0.85004,0.31567,0.11247,0.57014,1.00087,0.93599,0.85593,0.9043,0.74223,0.96922,0.92161,0.95232,0.91194,0.76153,0.38778,0.03762,0.46106,0.93554,0.00157232,0.00157232,0.00157232
110,2294.78,0.85252,0.32758,0.10111,0.56435,1.0062,0.95719,0.87317,0.91569,0.7417,0.96267,0.92195,0.94941,0.92104,0.78393,0.35852,0.04248,0.4577,0.93159,0.00156836,0.00156836,0.00156836
111,2309.7,0.87466,0.32247,0.10107,0.58694,1.01252,0.97733,0.84137,0.9097,0.73178,0.97937,0.92639,0.95145,0.92757,0.85755,0.34305,0.03726,0.45777,0.95458,0.0015644,0.0015644,0.0015644
112,2324.59,0.85451,0.33525,0.10098,0.57093,0.99756,0.9676,0.87402,0.92048,0.73761,0.9838,0.88853,0.95062,0.9284,0.81912,0.34041,0.04066,0.44558,0.95286,0.00156044,0.00156044,0.00156044
113,2339.52,0.84858,0.30286,0.10059,0.57187,1.00717,0.95723,0.87346,0.91697,0.71673,0.97008,0.89756,0.94684,0.92606,0.91264,0.31683,0.03338,0.46444,0.98078,0.00155648,0.00155648,0.00155648
