epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,367.661,0.94873,0.94589,0.49973,0.57757,1.00996,0.89429,0.89286,0.89584,0.65269,0.96795,0.96429,0.99397,0.88871,1.06381,0.98659,0.31096,0.62945,1.0667,0.0004556,0.0004556,0.0004556
80,372.401,0.87006,0.69837,0.45329,0.51397,0.97604,0.92557,0.88841,0.89083,0.653,1,0.95887,0.993,0.88454,1.08247,0.97832,0.30985,0.63041,1.07129,0.0004358,0.0004358,0.0004358
81,377.718,0.83597,0.68515,0.44802,0.5068,0.95359,0.91571,0.85714,0.88689,0.65648,0.993,0.92857,0.99067,0.88449,1.06971,0.96291,0.30782,0.6265,1.07255,0.000416,0.000416,0.000416
82,382.68,0.81671,0.71715,0.47343,0.51032,0.94861,0.91571,0.85714,0.88689,0.65795,0.99341,0.92857,0.99067,0.89835,1.06571,0.94752,0.30586,0.62698,1.07623,0.0003962,0.0003962,0.0003962
83,387.923,0.91156,0.7946,0.49914,0.56505,0.99276,0.91298,0.85714,0.88689,0.64681,0.99034,0.92857,0.99067,0.91333,1.07236,0.92533,0.30455,0.6278,1.07934,0.0003764,0.0003764,0.0003764
84,391.111,0.79451,0.64037,0.4589,0.49952,0.93505,0.91016,0.85714,0.88565,0.65474,0.98635,0.92857,0.98934,0.91635,1.07568,0.90385,0.30358,0.64422,1.07594,0.0003566,0.0003566,0.0003566
85,396.529,0.8824,0.75022,0.47503,0.54328,0.96088,0.90548,0.85714,0.88695,0.64561,0.98179,0.92857,0.98934,0.91998,1.08032,0.90261,0.30263,0.65487,1.0785,0.0003368,0.0003368,0.0003368
86,400.939,0.86307,0.75163,0.4954,0.51997,0.97373,0.8326,0.92857,0.8884,0.64629,0.89681,1,0.98934,0.91632,1.06519,0.90374,0.3024,0.66988,1.07922,0.000317,0.000317,0.000317
87,405.749,0.8945,0.76696,0.50867,0.55171,1.0181,0.83137,0.92857,0.88798,0.64271,0.89554,1,0.98675,0.90951,1.05197,0.92085,0.30106,0.67425,1.07869,0.0002972,0.0002972,0.0002972
88,410.583,0.81846,0.71648,0.52486,0.50221,0.96471,0.83083,0.92857,0.8861,0.65412,0.90293,0.99677,0.98451,0.88157,1.05715,0.92605,0.30055,0.66606,1.07752,0.0002774,0.0002774,0.0002774
89,415.396,0.82147,0.64228,0.47131,0.47888,0.95137,0.82977,0.92857,0.88166,0.65019,0.86169,0.96429,0.95623,0.86764,1.06931,0.93975,0.30201,0.64697,1.08064,0.0002576,0.0002576,0.0002576
90,419.445,0.84414,0.57537,0.44977,0.4964,0.96166,0.83023,0.92857,0.87882,0.64079,0.86217,0.96429,0.95498,0.87329,1.08755,0.94889,0.30128,0.6218,1.08422,0.0002378,0.0002378,0.0002378
91,427.333,0.70403,0.55515,0.30217,0.53798,0.87705,0.85828,0.92857,0.88017,0.64269,0.89988,0.96302,0.95649,0.87257,1.09557,0.94316,0.3006,0.624,1.08838,0.000218,0.000218,0.000218
92,431.738,0.70604,0.4499,0.31264,0.49261,0.86034,0.86448,0.91155,0.87603,0.63978,0.8743,1,0.95921,0.87963,1.10302,0.93467,0.3011,0.63307,1.09117,0.0001982,0.0001982,0.0001982
93,436.866,0.7397,0.49131,0.31338,0.51118,0.87485,0.86601,0.92344,0.87124,0.63887,0.87105,0.96499,0.95741,0.87745,1.10687,0.92357,0.30044,0.64554,1.09522,0.0001784,0.0001784,0.0001784
94,442.097,0.71448,0.40275,0.31348,0.46782,0.89173,0.86631,0.92577,0.87622,0.6434,0.89959,0.96008,0.96035,0.8867,1.12779,0.9155,0.29918,0.65894,1.10209,0.0001586,0.0001586,0.0001586
95,446.953,0.81016,0.40083,0.31203,0.48241,0.93892,0.86634,0.92604,0.87787,0.6406,0.87651,0.96429,0.96185,0.89222,1.13672,0.90593,0.29707,0.66647,1.10465,0.0001388,0.0001388,0.0001388
96,451.694,0.69948,0.4942,0.31677,0.47295,0.91832,0.85408,0.92857,0.87787,0.64031,0.87212,1,0.96305,0.89401,1.13985,0.87703,0.29402,0.66276,1.10958,0.000119,0.000119,0.000119
97,456.016,0.66994,0.45816,0.29639,0.46088,0.90227,0.81132,0.92857,0.87731,0.63825,0.87468,1,0.96396,0.89288,1.14093,0.86993,0.29421,0.66055,1.10842,9.92e-05,9.92e-05,9.92e-05
98,461.37,0.69708,0.42198,0.29355,0.44699,0.88638,0.88516,0.82143,0.87631,0.64279,0.87466,0.99702,0.96289,0.89212,1.13668,0.86542,0.29295,0.65708,1.10913,7.94e-05,7.94e-05,7.94e-05
99,466.812,0.76858,0.40002,0.27743,0.46461,0.88196,0.89067,0.82143,0.87364,0.6408,0.86522,1,0.96225,0.89057,1.12554,0.85999,0.29092,0.64948,1.10736,5.96e-05,5.96e-05,5.96e-05
100,472.09,0.70867,0.47081,0.27367,0.43876,0.86918,0.82966,0.92857,0.87558,0.64556,0.86181,0.96429,0.95848,0.88411,1.11825,0.85471,0.29108,0.64743,1.10361,3.98e-05,3.98e-05,3.98e-05
